X,V,A,dA,thrust1,thrust2,tank2,gravity,air_drag,
10697.252128,81.952170,0.133054,0.000625,20.000000,0.000000,100.000000,-9.765415,-10.101531,
10779.337981,82.085853,0.133683,0.000630,20.000000,0.000000,100.000000,-9.765149,-10.101168,
10861.558152,82.220171,0.134318,0.000635,20.000000,0.000000,100.000000,-9.764882,-10.100800,
10943.913281,82.355128,0.134957,0.000640,20.000000,0.000000,100.000000,-9.764615,-10.100428,
11026.404011,82.490730,0.135602,0.000645,20.000000,0.000000,100.000000,-9.764347,-10.100051,
11109.030992,82.626981,0.136251,0.000650,20.000000,0.000000,100.000000,-9.764079,-10.099669,
11191.794879,82.763887,0.136906,0.000655,20.000000,0.000000,100.000000,-9.763811,-10.099283,
11274.696332,82.901453,0.137566,0.000660,20.000000,0.000000,100.000000,-9.763542,-10.098892,
11357.736016,83.039684,0.138231,0.000665,20.000000,0.000000,100.000000,-9.763273,-10.098496,
11440.914602,83.178585,0.138901,0.000670,20.000000,0.000000,100.000000,-9.763003,-10.098096,
11524.232764,83.318162,0.139577,0.000676,20.000000,0.000000,100.000000,-9.762733,-10.097690,
11607.691185,83.458420,0.140258,0.000681,20.000000,0.000000,100.000000,-9.762462,-10.097280,
11691.290549,83.599365,0.140945,0.000687,20.000000,0.000000,100.000000,-9.762191,-10.096864,
11775.031551,83.741002,0.141637,0.000692,20.000000,0.000000,100.000000,-9.761920,-10.096444,
11858.914887,83.883336,0.142334,0.000698,20.000000,0.000000,100.000000,-9.761648,-10.096018,
11942.941260,84.026373,0.143038,0.000703,20.000000,0.000000,100.000000,-9.761375,-10.095587,
12027.111380,84.170120,0.143747,0.000709,20.000000,0.000000,100.000000,-9.761103,-10.095151,
12111.425961,84.314581,0.144461,0.000715,20.000000,0.000000,100.000000,-9.760829,-10.094709,
12195.885724,84.459763,0.145182,0.000721,20.000000,0.000000,100.000000,-9.760555,-10.094263,
12280.491396,84.605671,0.145908,0.000726,20.000000,0.000000,100.000000,-9.760281,-10.093810,
12365.243708,84.752312,0.146641,0.000732,20.000000,0.000000,100.000000,-9.760007,-10.093353,
12450.143399,84.899691,0.147379,0.000738,20.000000,0.000000,100.000000,-9.759731,-10.092889,
12535.191215,85.047815,0.148124,0.000745,20.000000,0.000000,100.000000,-9.759456,-10.092420,
